page,site,word_count,content_freshness_days,title_length,meta_desc_length,internal_link_count,image_count,serp_feature_present,cannibalization_flag,competitor_avg_position,heading_structure_score
/page-00000,exampledomain.com,100,147,52,122,5,4,0,0,1.0,0.059793845915034706
/page-00001,demoapp.co,170,30,66,170,5,3,0,0,1.0,0.11179724215010044
/page-00002,exampledomain.com,100,140,55,139,3,2,0,0,4.831008839546465,0.10103630786183483
/page-00003,testsite.io,162,96,43,101,0,4,0,0,7.755120998542185,0.24162933827802308
/page-00004,testsite.io,131,79,74,100,3,0,1,0,16.874017195001965,0.38342943994581674
/page-00005,testsite.io,985,179,45,100,5,1,0,0,1.5679084868400874,0.22975851775082
/page-00006,testsite.io,100,577,33,132,5,5,0,0,10.874927358876898,0.13933095417218058
/page-00007,demoapp.co,100,10,36,197,9,3,0,0,22.103236387775457,0.21002158692476305
/page-00008,demoapp.co,235,188,52,135,4,6,0,0,19.603880077188798,0.36869567033530654
/page-00009,exampledomain.com,172,262,26,162,8,4,1,0,12.622860613086093,0.16986413756661323
/page-00010,demoapp.co,113,320,53,155,3,1,1,1,5.322728618833584,0.15812477275114203
/page-00011,testsite.io,106,64,34,162,8,2,0,2,9.571573727615892,0.1738389816219285
/page-00012,demoapp.co,113,413,50,146,6,3,0,0,24.76784067198111,0.233217348435091
/page-00013,exampledomain.com,295,366,29,122,2,3,0,0,9.722479480184838,0.009770839640650227
/page-00014,testsite.io,324,36,50,125,6,4,0,0,5.161873405664131,0.38279961500129084
/page-00015,exampledomain.com,100,14,54,174,5,1,0,0,8.053282113041334,0.6040669456602588
/page-00016,demoapp.co,147,31,49,100,5,4,0,1,7.338464998248647,0.4644399294122314
/page-00017,testsite.io,100,95,65,134,9,4,0,0,12.638707766434782,0.48244418324480964
/page-00018,demoapp.co,213,169,42,100,4,3,0,0,8.68772028037405,0.3300690722404354
/page-00019,demoapp.co,100,195,48,95,4,1,0,0,8.514899823409912,0.06200259569441448
/page-00020,demoapp.co,100,52,60,85,3,2,0,0,5.6319678814148695,0.1790416225087116
/page-00021,exampledomain.com,100,49,39,99,5,7,0,0,6.895678330708147,0.24375177244509388
/page-00022,exampledomain.com,100,46,59,55,6,4,0,1,1.133154753187405,0.3106498868812594
/page-00023,testsite.io,109,14,37,193,2,4,0,1,6.123728370404904,0.11713476225235674
/page-00024,demoapp.co,100,76,42,138,2,5,0,0,5.949342887848853,0.24414967793845962
/page-00025,exampledomain.com,100,328,31,39,4,6,0,0,7.597414038552411,0.32019469240072085
/page-00026,demoapp.co,205,61,49,105,8,2,0,0,14.248234898086999,0.1879918131626236
/page-00027,demoapp.co,100,105,33,195,4,3,0,0,15.919011217165744,0.2944051812761454
/page-00028,demoapp.co,595,291,62,180,4,1,0,0,5.4165122631504525,0.20471459330793934
/page-00029,exampledomain.com,102,367,72,126,3,3,0,0,9.461544036762158,0.318321363110216
/page-00030,testsite.io,100,37,63,128,5,3,0,0,14.20884360204151,0.09496002535728686
/page-00031,testsite.io,100,519,56,93,4,6,0,0,1.8373547697504513,0.25906774277147765
/page-00032,exampledomain.com,100,60,42,168,8,0,0,1,2.065152006940166,0.3351646097766475
/page-00033,demoapp.co,171,346,53,137,3,6,0,1,12.461364251919477,0.3187303020138488
/page-00034,exampledomain.com,100,200,43,133,5,4,0,0,9.430394824351094,0.11833332857690608
/page-00035,exampledomain.com,142,100,65,155,4,2,0,0,11.250706283976006,0.6866710338373592
/page-00036,exampledomain.com,100,20,69,171,3,1,0,1,22.85350007988616,0.4945333605816185
/page-00037,demoapp.co,208,73,52,108,5,3,1,0,12.840325606201928,0.17122102027820005
/page-00038,exampledomain.com,100,499,51,120,2,5,0,0,9.83256115704323,0.22838095676818818
/page-00039,demoapp.co,100,256,31,224,3,3,1,0,9.197713760826517,0.21234673715807
/page-00040,demoapp.co,100,386,28,131,6,5,0,0,8.309058409110442,0.4716542537393202
/page-00041,demoapp.co,100,35,51,176,2,2,1,0,5.529356327537863,0.47648930550881646
/page-00042,exampledomain.com,204,696,62,121,0,2,0,1,20.111966036048756,0.4261781745649914
/page-00043,testsite.io,100,126,65,141,3,5,0,0,8.848810369431412,0.6558613756040511
/page-00044,testsite.io,125,58,63,96,5,3,1,0,2.6557930266460987,0.33652659775766636
/page-00045,demoapp.co,542,792,53,114,5,2,0,0,1.1690552746667038,0.3198903202955249
/page-00046,testsite.io,100,53,19,157,4,1,0,0,1.656397114868386,0.4434831386316761
/page-00047,exampledomain.com,100,186,55,130,1,1,0,0,8.992295671632034,0.41734142488236503
/page-00048,testsite.io,100,251,39,79,7,4,0,0,5.730914256845518,0.06361366693103317
